Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),,Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),,Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Cambodia,2016,15766,4.913073,202137,64032,10615000,22700,371677,77480,112480,634625,1.2,19,27,7.7,118,5007.3588,725.9461,805.6937,0.759,28.06,1804.53
Cambodia,2017,16009,6.525798,192543,63338,11268000,23500,374570,78584,124777,620811,1.1,17.7,27,6.8,119,4949.6016,761.6011,798.8999,1.513,27.55,2103.47
Cambodia,2018,16250,1.520065,182948,62294,12124000,22700,374031,79676,139059,625910,1,,27,6.2,120,4868.6124,800.4059,787.1287,0.285,27.56,1829.03
Cambodia,2019,16487,2.074261,182610,61755,11781000,22720,372417,78580,155697,627116,41.1,,26,,,4827.7039,801.2792,781.5594,0.519,28.09,1771.58
Indonesia,2000,208939,,1695263,385795,61575000,783000,8710401,290895,10495321,6579705,41.6,9.1,42,19.2,106,21555.7465,3770.8638,5994.7694,0.609,26.04,3008.68
Indonesia,2001,211970,0.841361,1818411,382329,59808000,850318,9880012,301997,11517100,6071443,41.6,4.9,47,19.1,107,21598.9549,3647.8291,6173.0476,0.602,26.1,2945.36
Indonesia,2002,215038,15.365896,2072829,372599,61074973,945950,11761395,289026,12723157,6220153,42.5,2.4,40,18.9,108,21982.6917,3682.5243,6724.435,0.544,26.23,2665.02
Indonesia,2003,218146,4.505036,2190400,410350,63024042,973590,13716174,336158,14107943,7250478,43.5,4.2,33,19.1,108,21085.4897,3758.6946,6532.2913,0.701,26.09,2972.61
Indonesia,2004,221294,1.730125,2020361,487810,65313711,1107420,15019329,311362,15856816,7727501,43.5,5.2,20,19.2,108,21063.9675,3896.4991,6471.643,0.403,26.11,2703.47
Indonesia,2005,224481,8.17743,1817008,396757,66674990,1051540,15261368,322130,19078956,7838948,42.9,4.6,9,19,109,20827.5568,3952.6485,6507.2666,0.444,26.13,2816.95
